community,lon,lat,org_name
LA RINCONADA DE PUNITAQUI,-71.348939589795222,-30.841137268549289,Rinconada de Punitaqui (079)
RIO COLORADO,-70.359155600075781,-30.939244605733659,Rio Colorado (134)
ROMERALCILLO,-71.143549815216844,-30.457180816943126,Romeralcillo
SALALA,-71.535257997350882,-30.708098208729368,Salala (063)
SAN ISIDRO,-70.68303236029395,-29.975588474810134,San Isidro (020)
SAN LORENZO,-70.899931672768687,-31.013062995865109,San Lorenzo (104)
SOCOS,-71.474580958304998,-30.763556324798806,Socos (066)
TOTORALILLO,-71.368898404517765,-30.059460523698576,Totoralillo (008)
TUNGA NORTE,-71.320752984240812,-31.630856054537212,Tunga Norte (173)
TUNGA SUR,-71.353836969058918,-31.670853213671208,Tunga Sur (174)
UCHUMI-DIAGUITAS,-70.599490660456254,-30.075515961155162,Uchumi - Diaguitas (019)
VADO HONDO,-70.797336015112776,-30.91839664614869,Vado Hondo (108)
VALDIVIA DE PUNILLA,-71.590444625240835,-30.586701114804374,Valdivia de Punilla (061)
VARILLAR,-70.504904419600422,-29.961709241510462,Varillar (023)
VIVANCO,-71.042812160239592,-31.239798352304064,Vivanco (147)
YERBA LOCA,-71.458984143421176,-31.476297442772395,Yerba Loca (154)
